"burst","new_burst","Ind_ID","burst_id"
"burst_4",897215,"Seychelles",224304
"burst_4",897216,"Seychelles",224304
"burst_4",897217,"Seychelles",224305
"burst_4",897218,"Seychelles",224305
"burst_4",897219,"Seychelles",224305
"burst_4",897220,"Seychelles",224305
"burst_4",897221,"Seychelles",224306
"burst_4",897222,"Seychelles",224306
"burst_4",897223,"Seychelles",224306
"burst_4",897224,"Seychelles",224306
"burst_4",897225,"Seychelles",224307
"burst_4",897226,"Seychelles",224307
"burst_4",897227,"Seychelles",224307
"burst_4",897228,"Seychelles",224307
"burst_4",897229,"Seychelles",224308
"burst_4",897230,"Seychelles",224308
"burst_4",897231,"Seychelles",224308
"burst_4",897232,"Seychelles",224308
"burst_4",897233,"Seychelles",224309
"burst_4",897234,"Seychelles",224309
"burst_4",897235,"Seychelles",224309
"burst_4",897236,"Seychelles",224309
"burst_4",897237,"Seychelles",224310
"burst_4",897238,"Seychelles",224310
"burst_4",897239,"Seychelles",224310
"burst_4",897240,"Seychelles",224310
"burst_4",897241,"Seychelles",224311
"burst_4",897242,"Seychelles",224311
"burst_4",897243,"Seychelles",224311
"burst_4",897244,"Seychelles",224311
"burst_4",897245,"Seychelles",224312
"burst_4",897246,"Seychelles",224312
"burst_4",897247,"Seychelles",224312
"burst_4",897248,"Seychelles",224312
"burst_4",897249,"Seychelles",224313
"burst_4",897250,"Seychelles",224313
"burst_4",897251,"Seychelles",224313
"burst_4",897252,"Seychelles",224313
"burst_4",897253,"Seychelles",224314
"burst_4",897254,"Seychelles",224314
"burst_4",897255,"Seychelles",224314
"burst_4",897256,"Seychelles",224314
"burst_4",897257,"Seychelles",224315
"burst_4",897258,"Seychelles",224315
"burst_4",897259,"Seychelles",224315
"burst_4",897260,"Seychelles",224315
"burst_4",897261,"Seychelles",224316
"burst_4",897262,"Seychelles",224316
"burst_4",897263,"Seychelles",224316
"burst_4",897264,"Seychelles",224316
"burst_4",897265,"Seychelles",224317
"burst_4",897266,"Seychelles",224317
"burst_4",897267,"Seychelles",224317
"burst_4",897268,"Seychelles",224317
"burst_4",942841,"Xian",235711
"burst_4",942842,"Xian",235711
"burst_4",942843,"Xian",235711
"burst_4",942844,"Xian",235711
"burst_4",955845,"Seychelles",238962
"burst_4",955846,"Seychelles",238962
"burst_4",955847,"Seychelles",238962
"burst_4",955848,"Seychelles",238962
"burst_4",955849,"Seychelles",238963
"burst_4",955850,"Seychelles",238963
"burst_4",955851,"Seychelles",238963
"burst_4",955852,"Seychelles",238963
"burst_4",955853,"Seychelles",238964
"burst_4",955854,"Seychelles",238964
"burst_4",955855,"Seychelles",238964
"burst_4",955856,"Seychelles",238964
"burst_4",955857,"Seychelles",238965
"burst_4",955858,"Seychelles",238965
"burst_4",955859,"Seychelles",238965
"burst_4",955860,"Seychelles",238965
"burst_4",955861,"Seychelles",238966
"burst_4",955862,"Seychelles",238966
"burst_4",955863,"Seychelles",238966
"burst_4",955864,"Seychelles",238966
"burst_4",955865,"Seychelles",238967
"burst_4",955866,"Seychelles",238967
"burst_4",955867,"Seychelles",238967
"burst_4",955868,"Seychelles",238967
"burst_4",955869,"Seychelles",238968
"burst_4",955870,"Seychelles",238968
"burst_4",955871,"Seychelles",238968
"burst_4",955872,"Seychelles",238968
"burst_4",955873,"Seychelles",238969
"burst_4",955874,"Seychelles",238969
"burst_4",955875,"Seychelles",238969
"burst_4",955876,"Seychelles",238969
"burst_4",1146398,"Xiashan",286600
"burst_4",1146399,"Xiashan",286600
"burst_4",1146400,"Xiashan",286600
"burst_4",1146401,"Xiashan",286601
"burst_4",1146402,"Xiashan",286601
"burst_4",1146403,"Xiashan",286601
"burst_4",1146404,"Xiashan",286601
"burst_4",1146405,"Xiashan",286602
"burst_4",1146406,"Xiashan",286602
"burst_4",1146407,"Xiashan",286602
"burst_4",1146408,"Xiashan",286602
"burst_4",1146409,"Xiashan",286603
"burst_4",1146410,"Xiashan",286603
"burst_4",1146411,"Xiashan",286603
"burst_4",1146412,"Xiashan",286603
"burst_4",1146413,"Xiashan",286604
"burst_4",1146414,"Xiashan",286604
"burst_4",1146415,"Xiashan",286604
"burst_4",1146416,"Xiashan",286604
"burst_4",1146417,"Xiashan",286605
"burst_4",1146418,"Xiashan",286605
"burst_4",1146419,"Xiashan",286605
"burst_4",1146420,"Xiashan",286605
"burst_4",1146421,"Xiashan",286606
"burst_4",1146422,"Xiashan",286606
"burst_4",1146423,"Xiashan",286606
"burst_4",1146424,"Xiashan",286606
"burst_4",1158149,"Mieles",289538
"burst_4",1158150,"Mieles",289538
"burst_4",1158151,"Mieles",289538
"burst_4",1158152,"Mieles",289538
"burst_4",1158153,"Mieles",289539
"burst_4",1158154,"Mieles",289539
"burst_4",1158155,"Mieles",289539
"burst_4",1158156,"Mieles",289539
"burst_4",1158157,"Mieles",289540
"burst_4",1158158,"Mieles",289540
"burst_4",1158159,"Mieles",289540
