"comparison","model","burst","correction_type","metric","Level1","Level2","Difference","SE","CI_low","CI_high","z","p"
"correction","RF","Burst_1",NA,"accuracy","rotdaily","uncorrected",-0.0365106654757673,0.0144680734902529,-0.0648675684423417,-0.00815376250919288,-2.52353331633022,0.0116182050916758
"correction","RF","Burst_1",NA,"accuracy","rotbasal","uncorrected",-0.0359132818315786,0.0144639362465393,-0.064262075949479,-0.00756448771367817,-2.48295354870438,0.0130298077392684
"correction","RF","Burst_1",NA,"accuracy","rotbasal","rotdaily",0.000597383644188709,0.0147373456647935,-0.028287283086524,0.0294820503749014,0.0405353621864091,0.967666315250864
"correction","RF","Burst_1",NA,"roc_auc","rotdaily","uncorrected",-0.0173172300986292,0.0066510388380355,-0.0303530266809559,-0.00428143351630248,-2.60368801330652,0.00922266674345639
"correction","RF","Burst_1",NA,"roc_auc","rotbasal","uncorrected",-0.0173250407224568,0.00665115834915656,-0.0303610715422765,-0.00428900990263703,-2.60481555436938,0.0091923730435524
"correction","RF","Burst_1",NA,"roc_auc","rotbasal","rotdaily",-7.81062382759767e-06,0.00692442182672461,-0.0135794280179709,0.0135638067703157,-0.00112798209338617,0.999100000693676
"model",NA,"Burst_1","uncorrected","accuracy","SVC","RF",-0.161622936487042,0.0200015629883972,-0.20082527957881,-0.122420593395274,-8.08051533676635,6.44936455864217e-16
"model",NA,"Burst_1","uncorrected","accuracy","XGB","RF",-0.00852988231357765,0.0189588956345111,-0.0456886349438731,0.0286288703167178,-0.449914513905051,0.652772081845678
"model",NA,"Burst_1","uncorrected","accuracy","CatEmbed","RF",-0.015139788297963,0.0190283468514829,-0.0524346628122056,0.0221550862162796,-0.795643910431619,0.4262390366164
"model",NA,"Burst_1","uncorrected","accuracy","GANDALF","RF",-0.0425660099305974,0.01929170906273,-0.0803770648937733,-0.00475495496742161,-2.20644059021351,0.0273531656486372
"model",NA,"Burst_1","uncorrected","accuracy","TabPFN","RF",0.0339780841572492,0.018454564151241,-0.00219219692956701,0.0701483652440655,1.84117510870418,0.0655959017682958
"model",NA,"Burst_1","uncorrected","accuracy","LSTM","RF",-0.331030752555845,0.0198781833184937,-0.369991275938178,-0.292070229173513,-16.6529680933101,2.87959254873595e-62
"model",NA,"Burst_1","uncorrected","accuracy","TSSeq","RF",-0.0656953157144871,0.0194836873253295,-0.103882641158172,-0.0275079902708018,-3.37181122944223,0.000746756124588301
"model",NA,"Burst_1","uncorrected","accuracy","HydraRocket","RF",0.0390568050207371,0.0183873817029957,0.00301819911287478,0.0750954109285993,2.12410911197726,0.0336610207490911
"model",NA,"Burst_1","uncorrected","accuracy","XGB","SVC",0.153093054173464,0.0200893453868157,0.11371866074232,0.192467447604609,7.62060939396944,2.52480887309993e-14
"model",NA,"Burst_1","uncorrected","accuracy","CatEmbed","SVC",0.146483148189079,0.020154846956648,0.106980374040132,0.185985922338026,7.26788690105939,3.65154304649621e-13
"model",NA,"Burst_1","uncorrected","accuracy","GANDALF","SVC",0.119056926556445,0.020403481579078,0.0790668375022252,0.159047015610664,5.83512799494606,5.37492899497009e-09
"model",NA,"Burst_1","uncorrected","accuracy","TabPFN","SVC",0.195601020644291,0.0196144204813827,0.157157462923156,0.234044578365426,9.97230689685422,2.01493488680666e-23
"model",NA,"Burst_1","uncorrected","accuracy","LSTM","SVC",-0.169407816068803,0.0209568271371911,-0.210482442487929,-0.128333189649677,-8.08365765293562,6.28526132482501e-16
"model",NA,"Burst_1","uncorrected","accuracy","TSSeq","SVC",0.0959276207725549,0.0205849268954852,0.0555819054330141,0.136273336112096,4.66009042731138,3.16070495529024e-06
"model",NA,"Burst_1","uncorrected","accuracy","HydraRocket","SVC",0.200679741507779,0.0195512636681555,0.162359968865948,0.23899951414961,10.2642849543603,1.02074356873146e-24
"model",NA,"Burst_1","uncorrected","accuracy","CatEmbed","XGB",-0.00660990598438538,0.0191206514561907,-0.0440856941994624,0.0308658822306917,-0.345694601438138,0.729572241847742
"model",NA,"Burst_1","uncorrected","accuracy","GANDALF","XGB",-0.0340361276170198,0.0193827554600044,-0.0720256302397755,0.00395337500573589,-1.75600046583945,0.079088329020017
"model",NA,"Burst_1","uncorrected","accuracy","TabPFN","XGB",0.0425079664708269,0.0185497491228454,0.00615112626779647,0.0788648066738573,2.29156557262951,0.0219307239948654
"model",NA,"Burst_1","uncorrected","accuracy","LSTM","XGB",-0.322500870242268,0.0199664416603218,-0.361634376795918,-0.283367363688617,-16.1521454713263,1.0967952706698e-58
"model",NA,"Burst_1","uncorrected","accuracy","TSSeq","XGB",-0.0571654334009094,0.0195738305934848,-0.0955294364036278,-0.018801430398191,-2.92050312420386,0.00349466693206788
"model",NA,"Burst_1","uncorrected","accuracy","HydraRocket","XGB",0.0475866873343147,0.0184829161813175,0.0113608372896599,0.0838125373789695,2.57463091145841,0.0100347104204751
"model",NA,"Burst_1","uncorrected","accuracy","GANDALF","CatEmbed",-0.0274262216326344,0.0194506737939658,-0.0655488417438445,0.0106963984785757,-1.41003966871023,0.158527969976286
"model",NA,"Burst_1","uncorrected","accuracy","TabPFN","CatEmbed",0.0491178724552123,0.0186207309345976,0.01262191045759,0.0856138344528345,2.63780582125004,0.00834443475338391
"model",NA,"Burst_1","uncorrected","accuracy","LSTM","CatEmbed",-0.315890964257882,0.0200322937932042,-0.355153538620288,-0.276628389895477,-15.7690860327261,5.07792858450635e-56
"model",NA,"Burst_1","uncorrected","accuracy","TSSeq","CatEmbed",-0.050555527416524,0.019641081082022,-0.0890513389547181,-0.01205971587833,-2.57396867338422,0.0100539375861803
"model",NA,"Burst_1","uncorrected","accuracy","HydraRocket","CatEmbed",0.0541965933187001,0.0185541553297514,0.0178311171088255,0.0905620695285747,2.92099491221766,0.00348915525432731
