"contrast_level","comparison","model","burst","correction_type","beh_rarity","metric","Level1","Level2","Difference","SE","CI_low","CI_high","z","p"
"within_behaviour_rarity","burst","RF",NA,"uncorrected",NA,"recall","Burst_4","Burst_2",0.00229915873543018,0.0380423856471261,-0.0722625470189204,0.0768608644897808,0.0604367653689425,0.951807777631059
"within_behaviour_rarity","burst","RF",NA,"uncorrected",NA,"recall","Burst_4","Burst_3",-0.0137890374684163,0.0375672555288043,-0.087419505302886,0.0598414303660534,-0.36704936983868,0.713582192348462
"within_behaviour_rarity","correction","RF","Burst_4",NA,NA,"precision","rotdaily","uncorrected",-0.123786001510215,0.0450012038667331,-0.211986740349956,-0.0355852626704732,-2.75072644449236,0.00594632772258616
"within_behaviour_rarity","correction","RF","Burst_4",NA,NA,"precision","rotbasal","uncorrected",-0.0794400634288833,0.0430817288965207,-0.163878700457782,0.00499857360001571,-1.84393861304157,0.0651920869681033
"within_behaviour_rarity","correction","RF","Burst_4",NA,NA,"precision","rotbasal","rotdaily",0.0443459380813315,0.04742681413969,-0.0486089095339359,0.137300785696599,0.935039362979681,0.349768013983802
"within_behaviour_rarity","correction","RF","Burst_4",NA,NA,"recall","rotdaily","uncorrected",-0.090901209507498,0.043121676369544,-0.175418142144796,-0.00638427687019985,-2.10801659769655,0.0350295537748076
"within_behaviour_rarity","correction","RF","Burst_4",NA,NA,"recall","rotbasal","uncorrected",-0.0766433376783934,0.0431813906991453,-0.161277308251071,0.00799063289428423,-1.77491591719186,0.0759117716843938
"within_behaviour_rarity","correction","RF","Burst_4",NA,NA,"recall","rotbasal","rotdaily",0.0142578718291046,0.0425761478669204,-0.0691898445905111,0.0977055882487203,0.3348793290006,0.737716115768249
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","SVC","RF",-0.0809929346607753,0.102682172595359,-0.282246294802004,0.120260425480454,-0.788773090923439,0.430244639683041
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","XGB","RF",0.00335591866766305,0.0992603564176087,-0.191190805003459,0.197902642338785,0.0338092546589699,0.973029256015276
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","CatEmbed","RF",0.00316653360755537,0.0992710358570138,-0.191401121380176,0.197734188595287,0.0318978600376078,0.974553505215412
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","GANDALF","RF",-0.010356646823489,0.0999948713319594,-0.206342993272846,0.185629699625868,-0.103571780087675,0.917509183420429
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","TabPFN","RF",0.00626801760197826,0.099095673933773,-0.187955934331941,0.200491969535898,0.0632521819889661,0.949565692713966
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","LSTM","RF",-0.0342157233650073,0.101108025321282,-0.232383811542683,0.163952364812669,-0.33840759184331,0.735056053810275
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","TSSeq","RF",-0.00889485090121256,0.0999198627193486,-0.204734183171322,0.186944481368897,-0.089019847096829,0.92906613703614
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","HydraRocket","RF",0.0196857409341764,0.0982960105486098,-0.172970899565068,0.212342381433421,0.200269988825654,0.841269432509733
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","XGB","SVC",0.0843488533284383,0.102502882342812,-0.116553104375019,0.285250811031896,0.822892502147805,0.410569126879988
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","CatEmbed","SVC",0.0841594682683307,0.102513148635926,-0.116762610999885,0.285081547536546,0.820962670527486,0.41166753160169
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","GANDALF","SVC",0.0706362878372863,0.103210136291743,-0.131651862134,0.272924437808573,0.684392932469535,0.493727077675585
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","TabPFN","SVC",0.0872609522627535,0.10234422742361,-0.113330047513098,0.287851952038606,0.852622121046205,0.393868891262699
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","LSTM","SVC",0.046777211295768,0.104281559140127,-0.157610888870564,0.2511653114621,0.448566474086869,0.653744423176236
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","TSSeq","SVC",0.0720980837595627,0.103137930927715,-0.130048546298739,0.274244713817864,0.69904527956929,0.484523734051101
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","HydraRocket","SVC",0.100678675594952,0.101574145362937,-0.0984029910768418,0.299760342266745,0.991184077751419,0.321595703888559
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","CatEmbed","XGB",-0.000189385060107683,0.0990845183450567,-0.194391472441917,0.194012702321702,-0.00191134864730491,0.99847496535256
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","GANDALF","XGB",-0.0137125654911521,0.099809847648582,-0.209336272184802,0.181911141202498,-0.137386899331139,0.890724985674564
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","TabPFN","XGB",0.00291209893431521,0.0989087445830824,-0.190945478204597,0.196769676073228,0.0294422798165139,0.976511852990168
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","LSTM","XGB",-0.0375716420326704,0.100925344628135,-0.235381682631107,0.160238398565766,-0.372271624844139,0.709690622926466
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","TSSeq","XGB",-0.0122507695688756,0.0997346997902682,-0.207727189166716,0.183225650028965,-0.122833573416652,0.902238887822508
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","HydraRocket","XGB",0.0163298222665134,0.0981074443084921,-0.1759572351934,0.208616879726427,0.166448350393935,0.867804126486947
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","GANDALF","CatEmbed",-0.0135231804310444,0.0998204431232168,-0.209167653873378,0.182121293011289,-0.135475059095376,0.892236282405159
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","TabPFN","CatEmbed",0.00310148399442289,0.0989194480693756,-0.190777071592133,0.196980039580979,0.0313536322225304,0.974987519079297
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","LSTM","CatEmbed",-0.0373822569725627,0.100935806151071,-0.235212801779178,0.160448287834052,-0.370356748492331,0.711116695844469
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","TSSeq","CatEmbed",-0.0120613845087679,0.0997453042647519,-0.207558588494671,0.183435819477135,-0.120921827826136,0.903752952928615
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","HydraRocket","CatEmbed",0.016519207326621,0.0981182442125291,-0.175789017556242,0.208827432209484,0.168360201094096,0.866299916056734
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","TabPFN","GANDALF",0.0166246644254673,0.0996461189395909,-0.178678139895325,0.21192746874626,0.166837048972733,0.867498266350169
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","LSTM","GANDALF",-0.0238590765415183,0.101646072623779,-0.223081718054068,0.175363564971032,-0.234726988713351,0.814420638917959
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","TSSeq","GANDALF",0.00146179592227647,0.100465267136491,-0.195446509362441,0.198370101206994,0.0145502616370938,0.988390980510039
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","HydraRocket","GANDALF",0.0300423877576654,0.0988514423723,-0.163702879111879,0.22378765462721,0.303914510872973,0.761193022300933
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","LSTM","TabPFN",-0.0404837409669856,0.100763682269634,-0.237976929165106,0.157009447231135,-0.401769169755576,0.687853913630356
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","TSSeq","TabPFN",-0.0151628685031908,0.0995708321959265,-0.210318113517888,0.179992376511506,-0.152282231340145,0.878964338804521
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","HydraRocket","TabPFN",0.0134177233321982,0.0979405596398628,-0.17854224618763,0.205377692852026,0.136998638577689,0.891031871223142
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","TSSeq","LSTM",0.0253208724637948,0.101572486064985,-0.173757542043772,0.224399286971362,0.249288694652948,0.803137475697888
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","HydraRocket","LSTM",0.0539014642991837,0.0999790441176148,-0.142053861380082,0.24985678997845,0.539127621942198,0.5897987974017
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","common","precision","HydraRocket","TSSeq",0.028580591835389,0.0987754802039158,-0.165015791919935,0.222176975590713,0.289349054809819,0.772314276613925
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","SVC","RF",-0.424340003061792,0.0743435355145633,-0.570050655153711,-0.278629350969874,-5.70782651275265,1.14427964757784e-08
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","XGB","RF",-0.0274981258868253,0.0729988323097797,-0.170573208127472,0.115576956353822,-0.376692681468295,0.706402002253918
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","CatEmbed","RF",-0.046059703128936,0.0741766568149786,-0.191443278979882,0.0993238727220095,-0.620946064525722,0.534635111131637
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","GANDALF","RF",-0.0703549497876359,0.0755532801725628,-0.218436657839723,0.0777267582644513,-0.931196496392295,0.351751929901324
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","TabPFN","RF",-0.0189421722372798,0.0724195223362617,-0.160881827793947,0.122997483319387,-0.261561684283509,0.793659387303724
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","LSTM","RF",-0.272863009495899,0.0797208361723254,-0.429112977211075,-0.116613041780723,-3.42273140369571,0.000619953040327739
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","TSSeq","RF",-0.0787192219539964,0.0759836065719955,-0.227644354250569,0.0702059103425758,-1.03600270512836,0.300200880502867
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","HydraRocket","RF",-0.0577182194489115,0.0748607231105613,-0.204442540602237,0.0890061017044139,-0.771008040673984,0.440702165638382
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","XGB","SVC",0.396841877174967,0.076158793196501,0.247573385403791,0.546110368946143,5.21071645858484,1.88112760496421e-07
