"comparison","model","burst","correction_type","beh_rarity","metric","Proportion","SE","CI_low","CI_high","z"
"model","GANDALF","Burst_4","uncorrected","rare","precision",0.520292450819095,0.0619119866173277,0.398947186837807,0.641637714800383,8.40374343073458
"model","TabPFN","Burst_4","uncorrected","common","precision",0.653673965288236,0.0698953506652533,0.516681595297542,0.79066633527893,9.35218092572205
"model","TabPFN","Burst_4","uncorrected","uncommon","precision",0.713810166727155,0.0523233156566257,0.611258352488448,0.816361980965862,13.6422961306881
"model","TabPFN","Burst_4","uncorrected","rare","precision",0.712749052220315,0.0524230933591122,0.610001677278274,0.815496427162355,13.5960891765351
"model","LSTM","Burst_4","uncorrected","common","precision",0.61319022432125,0.0726869835057961,0.470726354505033,0.755654094137467,8.43603895424212
"model","LSTM","Burst_4","uncorrected","uncommon","precision",0.459889329468536,0.0616685720211675,0.339021149329033,0.580757509608039,7.45743438506538
"model","LSTM","Burst_4","uncorrected","rare","precision",0.20935990584957,0.0434697163537756,0.124160827377998,0.294558984321142,4.81622433755278
"model","TSSeq","Burst_4","uncorrected","common","precision",0.638511096785045,0.071046643910673,0.499262233497684,0.777759960072406,8.98720983341374
"model","TSSeq","Burst_4","uncorrected","uncommon","precision",0.654033117010438,0.0570757503253752,0.542166701982103,0.765899532038774,11.4590366886454
"model","TSSeq","Burst_4","uncorrected","rare","precision",0.650518520338494,0.0573022705735291,0.538208133782007,0.76282890689498,11.3524039069929
"model","HydraRocket","Burst_4","uncorrected","common","precision",0.667091688620434,0.0687679532916406,0.532308976878286,0.801874400362582,9.70061862669286
"model","HydraRocket","Burst_4","uncorrected","uncommon","precision",0.675034119515523,0.0556025988698721,0.566055028283747,0.7840132107473,12.1403339634415
"model","HydraRocket","Burst_4","uncorrected","rare","precision",0.787684845989493,0.0438732889421767,0.701694779779507,0.873674912199479,17.9536311268488
"model","RF","Burst_4","uncorrected","common","recall",0.762694636782133,0.0528753407376733,0.65906087326601,0.866328400298256,14.4243919025702
"model","RF","Burst_4","uncorrected","uncommon","recall",0.521559191853384,0.055379404627823,0.41301755329758,0.630100830409188,9.41792703187259
"model","RF","Burst_4","uncorrected","rare","recall",0.469749800145087,0.0553055560261241,0.361352902188922,0.578146698101253,8.49371806194654
"model","SVC","Burst_4","uncorrected","common","recall",0.751895267438032,0.0541789549496061,0.645706467016786,0.858084067859278,13.8779950284644
"model","SVC","Burst_4","uncorrected","uncommon","recall",0.138007516078568,0.030323084612355,0.0785753623381912,0.197439669818944,4.55123605803406
"model","SVC","Burst_4","uncorrected","rare","recall",0.0796339548694324,0.0194243596999215,0.041562909434835,0.11770500030403,4.09969523318465
"model","XGB","Burst_4","uncorrected","common","recall",0.749164046977859,0.0544974167305623,0.642351072935486,0.855977021020231,13.7467808920515
"model","XGB","Burst_4","uncorrected","uncommon","recall",0.539741066628618,0.0551964720732971,0.431557969291285,0.647924163965951,9.77854283715595
"model","XGB","Burst_4","uncorrected","rare","recall",0.499184653124532,0.0554554537998698,0.390493960930462,0.607875345318601,9.00154302092653
"model","CatEmbed","Burst_4","uncorrected","common","recall",0.738545994474996,0.0556923570753013,0.629390980393261,0.847701008556731,13.2611732248361
"model","CatEmbed","Burst_4","uncorrected","uncommon","recall",0.522297409342244,0.0553741038638521,0.413766160092914,0.630828658591575,9.43216003326056
"model","CatEmbed","Burst_4","uncorrected","rare","recall",0.405221526853238,0.0539702071831533,0.299441864536093,0.511001189170384,7.50824478916819
"model","GANDALF","Burst_4","uncorrected","common","recall",0.745542084807453,0.0549125282822487,0.637915507074208,0.853168662540697,13.5769032701497
"model","GANDALF","Burst_4","uncorrected","uncommon","recall",0.475454202620726,0.0553568350457766,0.366956799632879,0.583951605608573,8.58889787011045
"model","GANDALF","Burst_4","uncorrected","rare","recall",0.301894652039612,0.0487435764604367,0.206358997699482,0.397430306379742,6.19352690060911
"model","TabPFN","Burst_4","uncorrected","common","recall",0.751614329415444,0.0542119179549519,0.645360922690899,0.85786773613999,13.8643744358945
"model","TabPFN","Burst_4","uncorrected","uncommon","recall",0.544627983263732,0.055128701453411,0.436577713900585,0.652678252626878,9.87920935747044
"model","TabPFN","Burst_4","uncorrected","rare","recall",0.569204379379749,0.0546672190709252,0.462058598865775,0.676350159893724,10.412170018037
"model","LSTM","Burst_4","uncorrected","common","recall",0.73225216637719,0.0563694862370669,0.621770003525513,0.842734329228868,12.9902224635796
