burst,correction_type,target,random_seed,model,roc_auc,accuracy,balanced_acc,f1_score,precision,recall,time
Burst_2,rotbasal,Behaviour,123456,SVC,0.6652301034636969,0.3649906890130354,0.12511982065553495,0.1984080658315159,0.28666527436955047,0.3649906890130354,0.6054315567016602
Burst_2,rotdaily,Behaviour,42,RF,0.892518716189201,0.6797020484171322,0.6073519766204099,0.6593720097768784,0.669728999344067,0.6797020484171322,0.5849096775054932
Burst_2,rotdaily,Behaviour,42,XGB,0.8950490659283443,0.6834264432029795,0.5426361976477184,0.6690219256398469,0.6762836530992097,0.6834264432029795,0.6680033206939697
Burst_2,rotdaily,Behaviour,42,SVC,0.4736819886508694,0.3649906890130354,0.125,0.1951928377805046,0.13321820306621032,0.3649906890130354,0.647444486618042
Burst_2,rotdaily,Behaviour,100,RF,0.9091662006668664,0.7243947858472998,0.5383604842418206,0.7018652360542431,0.7027633592861251,0.7243947858472998,0.5767562389373779
Burst_2,rotdaily,Behaviour,100,XGB,0.9045877579627091,0.7169459962756052,0.5332344306998684,0.6991742977150496,0.7024855350623507,0.7169459962756052,0.6659493446350098
Burst_2,rotdaily,Behaviour,100,SVC,0.5256886170482375,0.3649906890130354,0.12691326530612246,0.1985733657254642,0.17890695290105244,0.3649906890130354,0.6442201137542725
Burst_2,rotdaily,Behaviour,123,RF,0.903185365644923,0.7039106145251397,0.5396549622932112,0.6800538816980902,0.6851493857756088,0.7039106145251397,0.5707504749298096
Burst_2,rotdaily,Behaviour,123,XGB,0.9045937952752791,0.707635009310987,0.5558820787507424,0.6933686077985487,0.707066939734562,0.707635009310987,0.6612975597381592
Burst_2,rotdaily,Behaviour,123,SVC,0.5316428085931783,0.37057728119180633,0.1326530612244898,0.2065235776952315,0.22521429219062764,0.37057728119180633,0.6354508399963379
Burst_2,rotdaily,Behaviour,1234,RF,0.8981502976687327,0.6852886405959032,0.5610375191884409,0.6625672293637465,0.6614046762621317,0.6852886405959032,0.578289270401001
Burst_2,rotdaily,Behaviour,1234,XGB,0.9041769971071646,0.7039106145251397,0.5913088959171908,0.6844918429524002,0.7016277385732901,0.7039106145251397,0.6690473556518555
Burst_2,rotdaily,Behaviour,1234,SVC,0.4187446835653415,0.37057728119180633,0.1326530612244898,0.2065235776952315,0.22521429219062764,0.37057728119180633,0.6355111598968506
Burst_2,rotdaily,Behaviour,123456,RF,0.8931672174772851,0.6945996275605214,0.5145631793961287,0.6722440411363884,0.6765592697853715,0.6945996275605214,0.5728132724761963
Burst_2,rotdaily,Behaviour,123456,XGB,0.8941385104720364,0.707635009310987,0.534449958643507,0.6915576245025832,0.703461184198879,0.707635009310987,0.654590368270874
Burst_2,rotdaily,Behaviour,123456,SVC,0.48511551251459406,0.3687150837988827,0.13010204081632654,0.20288356128905158,0.22496388729354844,0.3687150837988827,0.6358232498168945
Burst_2,uncorrected,Behaviour,42,RF,0.9121595712976501,0.7094972067039106,0.6491857189149816,0.6968048537963997,0.718359010090328,0.7094972067039106,0.5641965866088867
