burst,correction_type,target,random_seed,model,actual_label,predicted_label,count
Burst_1,rotbasal,Behaviour,42,XGB,Walking,Sleeping,0
Burst_1,rotbasal,Behaviour,42,XGB,Walking,Walking,23
Burst_1,rotbasal,Behaviour,42,SVC,Eating,Eating,0
Burst_1,rotbasal,Behaviour,42,SVC,Eating,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,SVC,Eating,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,SVC,Eating,Resting,83
Burst_1,rotbasal,Behaviour,42,SVC,Eating,Running,0
Burst_1,rotbasal,Behaviour,42,SVC,Eating,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,SVC,Eating,Sleeping,0
Burst_1,rotbasal,Behaviour,42,SVC,Eating,Walking,0
Burst_1,rotbasal,Behaviour,42,SVC,Grooming actor,Eating,0
Burst_1,rotbasal,Behaviour,42,SVC,Grooming actor,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,SVC,Grooming actor,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,SVC,Grooming actor,Resting,24
Burst_1,rotbasal,Behaviour,42,SVC,Grooming actor,Running,0
Burst_1,rotbasal,Behaviour,42,SVC,Grooming actor,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,SVC,Grooming actor,Sleeping,0
Burst_1,rotbasal,Behaviour,42,SVC,Grooming actor,Walking,0
Burst_1,rotbasal,Behaviour,42,SVC,Grooming receiver,Eating,0
Burst_1,rotbasal,Behaviour,42,SVC,Grooming receiver,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,SVC,Grooming receiver,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,SVC,Grooming receiver,Resting,18
Burst_1,rotbasal,Behaviour,42,SVC,Grooming receiver,Running,0
Burst_1,rotbasal,Behaviour,42,SVC,Grooming receiver,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,SVC,Grooming receiver,Sleeping,0
Burst_1,rotbasal,Behaviour,42,SVC,Grooming receiver,Walking,0
Burst_1,rotbasal,Behaviour,42,SVC,Resting,Eating,0
Burst_1,rotbasal,Behaviour,42,SVC,Resting,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,SVC,Resting,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,SVC,Resting,Resting,97
Burst_1,rotbasal,Behaviour,42,SVC,Resting,Running,0
Burst_1,rotbasal,Behaviour,42,SVC,Resting,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,SVC,Resting,Sleeping,0
Burst_1,rotbasal,Behaviour,42,SVC,Resting,Walking,1
Burst_1,rotbasal,Behaviour,42,SVC,Running,Eating,0
Burst_1,rotbasal,Behaviour,42,SVC,Running,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,SVC,Running,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,SVC,Running,Resting,1
Burst_1,rotbasal,Behaviour,42,SVC,Running,Running,0
Burst_1,rotbasal,Behaviour,42,SVC,Running,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,SVC,Running,Sleeping,0
Burst_1,rotbasal,Behaviour,42,SVC,Running,Walking,0
Burst_1,rotbasal,Behaviour,42,SVC,Self-scratching,Eating,0
Burst_1,rotbasal,Behaviour,42,SVC,Self-scratching,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,SVC,Self-scratching,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,SVC,Self-scratching,Resting,2
Burst_1,rotbasal,Behaviour,42,SVC,Self-scratching,Running,0
Burst_1,rotbasal,Behaviour,42,SVC,Self-scratching,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,SVC,Self-scratching,Sleeping,0
Burst_1,rotbasal,Behaviour,42,SVC,Self-scratching,Walking,0
Burst_1,rotbasal,Behaviour,42,SVC,Sleeping,Eating,0
Burst_1,rotbasal,Behaviour,42,SVC,Sleeping,Grooming actor,0
Burst_1,rotbasal,Behaviour,42,SVC,Sleeping,Grooming receiver,0
Burst_1,rotbasal,Behaviour,42,SVC,Sleeping,Resting,6
Burst_1,rotbasal,Behaviour,42,SVC,Sleeping,Running,0
Burst_1,rotbasal,Behaviour,42,SVC,Sleeping,Self-scratching,0
Burst_1,rotbasal,Behaviour,42,SVC,Sleeping,Sleeping,0
Burst_1,rotbasal,Behaviour,42,SVC,Sleeping,Walking,0
Burst_1,rotbasal,Behaviour,42,SVC,Walking,Eating,0
