burst,correction_type,target,random_seed,model,params,train_loss,valid_loss,accuracy,roc_auc,balanced_acc,f1_score,precision,recall,time
Burst_1,rotdaily,Behaviour,1234,HydraMultiRocketPlus,{},0.12242410331964493,0.669217050075531,0.738095223903656,0.9485583342968125,0.5238048569328027,0.732033340429768,0.7335494505494508,0.7380952380952381,49
Burst_1,rotdaily,Behaviour,1234,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.5129483938217163,1.4977697134017944,0.3857142925262451,0.5692043298013341,0.15178571428571427,0.22683768244139763,0.20662525879917185,0.38571428571428573,11
Burst_1,rotdaily,Behaviour,1234,TSSequencerPlus,{},0.9175000190734863,1.110515832901001,0.5571428537368774,0.8243608177494779,0.31075306844896394,0.5180601797847307,0.49282387978881825,0.5571428571428572,40
Burst_1,rotdaily,Behaviour,123456,HydraMultiRocketPlus,{},0.10617538541555405,0.7612264156341553,0.7476190328598022,0.9215362301380075,0.5216812481836048,0.7398848027097221,0.7459726405148093,0.7476190476190476,49
Burst_1,rotdaily,Behaviour,123456,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.4966171979904175,1.475500226020813,0.4047619104385376,0.5162168175432582,0.1875,0.24936301793444648,0.20175624705327677,0.40476190476190477,11
Burst_1,rotdaily,Behaviour,123456,TSSequencerPlus,{},0.823459804058075,1.1127721071243286,0.5428571701049805,0.8330930827075196,0.29290873927067956,0.5010573764859478,0.47573276733373765,0.5428571428571428,40
Burst_1,uncorrected,Behaviour,42,HydraMultiRocketPlus,{},0.04857712239027023,0.8534052968025208,0.7095237970352173,0.9419351843275989,0.45273079728598187,0.700950408049444,0.7059909115161216,0.7095238095238096,49
Burst_1,uncorrected,Behaviour,42,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.5053502321243286,1.4862260818481445,0.46190476417541504,0.6457429589023195,0.1657099119785687,0.3762137303678138,0.3177671068427371,0.46190476190476193,11
Burst_1,uncorrected,Behaviour,42,TSSequencerPlus,{},0.5604736804962158,0.9898207187652588,0.6476190686225891,0.862262741021701,0.31753316809532445,0.6080467514004915,0.5934057365636313,0.6476190476190476,40
Burst_1,uncorrected,Behaviour,100,HydraMultiRocketPlus,{},0.14565889537334442,0.6173667311668396,0.7952380776405334,0.9626821885207857,0.5240473097209154,0.7905746619216006,0.7950154607297464,0.7952380952380952,49
Burst_1,uncorrected,Behaviour,100,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.5085399150848389,1.5049313306808472,0.380952388048172,0.6773962594418083,0.14285714285714285,0.21899454518649566,0.18440303657694962,0.38095238095238093,11
Burst_1,uncorrected,Behaviour,100,TSSequencerPlus,{},0.31465476751327515,0.8541595935821533,0.7095237970352173,0.8436198540100261,0.4430283066305258,0.691259455199453,0.6859476538786883,0.7095238095238096,41
Burst_1,uncorrected,Behaviour,123,HydraMultiRocketPlus,{},0.09296026825904846,0.6162981390953064,0.7904762029647827,0.9294046560566017,0.6301971292323806,0.7819278216337041,0.7861381950747982,0.7904761904761904,49
Burst_1,uncorrected,Behaviour,123,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.488031029701233,1.5124751329421997,0.380952388048172,0.5471578707451132,0.14285714285714285,0.21926406926406924,0.20595238095238094,0.38095238095238093,11
Burst_1,uncorrected,Behaviour,123,TSSequencerPlus,{},0.772684633731842,1.0035123825073242,0.6666666865348816,0.8383719546016128,0.3438759786953031,0.6241977858056574,0.6295861817518914,0.6666666666666666,41
Burst_1,uncorrected,Behaviour,1234,HydraMultiRocketPlus,{},0.12772230803966522,0.5882028341293335,0.8047618865966797,0.9638700803386435,0.5514391964411604,0.7980179047763529,0.7978692978692978,0.8047619047619048,50
Burst_1,uncorrected,Behaviour,1234,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.504298448562622,1.4808616638183594,0.39047619700431824,0.5862302711865788,0.1607142857142857,0.23281525368190795,0.19465737514518006,0.3904761904761905,11
Burst_1,uncorrected,Behaviour,1234,TSSequencerPlus,{},0.7995287775993347,0.9156886339187622,0.6619047522544861,0.8886713266669015,0.3650407591884418,0.6219802646333258,0.6661334379905809,0.6619047619047619,41
Burst_1,uncorrected,Behaviour,123456,HydraMultiRocketPlus,{},0.22630608081817627,0.6815195679664612,0.7428571581840515,0.9452680912043349,0.6464698629466894,0.7370227608830092,0.7416719054540638,0.7428571428571429,49
Burst_1,uncorrected,Behaviour,123456,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.5329749584197998,1.5096023082733154,0.380952388048172,0.6099528614668872,0.14285714285714285,0.21926406926406924,0.20595238095238094,0.38095238095238093,11
Burst_1,uncorrected,Behaviour,123456,TSSequencerPlus,{},0.7681226134300232,0.9539316892623901,0.6380952596664429,0.8673937405758532,0.3374546170967027,0.598680400564453,0.6485207842600785,0.638095238095238,40
Burst_2,rotbasal,Behaviour,42,HydraMultiRocketPlus,{},0.21861037611961365,0.848030149936676,0.7156177163124084,0.9176258592636819,0.6451635864135864,0.7054124016838721,0.7126269942004931,0.7156177156177156,52
Burst_2,rotbasal,Behaviour,42,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.5644214153289795,1.5706508159637451,0.37062937021255493,0.5107580050853784,0.13839285714285715,0.2075716102985807,0.19843067730391675,0.3706293706293706,19
Burst_2,rotbasal,Behaviour,42,TSSequencerPlus,{},0.8126062750816345,1.0066518783569336,0.6247086524963379,0.8750930145007063,0.3375178987678988,0.5806322711485732,0.5820241037140482,0.6247086247086248,41
Burst_2,rotbasal,Behaviour,100,HydraMultiRocketPlus,{},0.37519118189811707,0.7742612361907959,0.7226107120513916,0.9421209046687244,0.5866779054279054,0.7104997465322133,0.7249481739884414,0.7226107226107226,52
Burst_2,rotbasal,Behaviour,100,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.5393898487091064,1.5380280017852783,0.3613053560256958,0.5542180994374164,0.15495962370962368,0.24867357124851158,0.23938343938343937,0.3613053613053613,19
Burst_2,rotbasal,Behaviour,100,TSSequencerPlus,{},0.7173934578895569,0.9732736945152283,0.6596736311912537,0.8748284332252387,0.38201506826506826,0.6281904647049319,0.630653628567579,0.6596736596736597,41
Burst_2,rotbasal,Behaviour,123,HydraMultiRocketPlus,{},0.23185454308986664,0.7503295540809631,0.745920717716217,0.9434799270841141,0.6742932067932068,0.734565596531686,0.752238688869022,0.745920745920746,52
Burst_2,rotbasal,Behaviour,123,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.5398610830307007,1.539400577545166,0.38461539149284363,0.5034455261950975,0.17574092574092573,0.23071978526523979,0.2100815850815851,0.38461538461538464,18
Burst_2,rotbasal,Behaviour,123,TSSequencerPlus,{},0.7153728604316711,0.948108971118927,0.6620046496391296,0.8798857362387241,0.44533716283716285,0.630619734854684,0.6340091154776469,0.662004662004662,41
Burst_2,rotbasal,Behaviour,1234,HydraMultiRocketPlus,{},0.21911785006523132,0.751814067363739,0.7249417304992676,0.9248086187037424,0.6260651848151848,0.709733477250713,0.7223442244686045,0.7249417249417249,52
Burst_2,rotbasal,Behaviour,1234,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.5592448711395264,1.5505754947662354,0.3776223659515381,0.5390179844295473,0.15178571428571427,0.21898491633328576,0.19937509299211428,0.3776223776223776,18
Burst_2,rotbasal,Behaviour,1234,TSSequencerPlus,{},0.6936721801757812,0.9367355108261108,0.6480186581611633,0.8960707615054573,0.37713453213453213,0.6159988973175786,0.6248497293951839,0.6480186480186481,41
Burst_2,rotbasal,Behaviour,123456,HydraMultiRocketPlus,{},0.2688300311565399,0.8043584227561951,0.7296037077903748,0.8819061978395546,0.5031443556443557,0.7142999705054751,0.7190519759227351,0.7296037296037297,52
Burst_2,rotbasal,Behaviour,123456,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.5672848224639893,1.5694547891616821,0.3752913773059845,0.5634264752641404,0.14732142857142858,0.21475834647411773,0.17553665653428127,0.3752913752913753,19
Burst_2,rotbasal,Behaviour,123456,TSSequencerPlus,{},0.7801678776741028,1.0189412832260132,0.6107226014137268,0.876508800039897,0.3380486180486181,0.5717709527350351,0.5718608314762161,0.6107226107226107,41
Burst_2,rotdaily,Behaviour,42,HydraMultiRocketPlus,{},0.15060126781463623,0.8253105282783508,0.7202796936035156,0.9266314876047874,0.5978800366300366,0.7115306002917259,0.7169856482125448,0.7202797202797203,53
Burst_2,rotdaily,Behaviour,42,LSTM,"{'n_layers': 6, 'bidirectional': True}",1.5625355243682861,1.5650084018707275,0.3729603588581085,0.5324257783011922,0.14285714285714285,0.2114338465435644,0.18600518977877467,0.372960372960373,18
Burst_2,rotdaily,Behaviour,42,TSSequencerPlus,{},0.8168619871139526,1.0725024938583374,0.61771559715271,0.8584685657116919,0.3803267565767566,0.5668290966875084,0.5377409252915326,0.6177156177156177,41
