burst,correction_type,target,random_seed,model,roc_auc,accuracy,balanced_acc,f1_score,precision,recall,time
Burst_1,uncorrected,Behaviour,123456,CategoryEmbeddingModel,0.9229607454576471,0.7490494296577946,0.6041253449170834,0.7346786868855458,0.7403938935876148,0.7490494296577946,3.1343066692352295
Burst_1,uncorrected,Behaviour,123456,GANDALF,0.9254280476933306,0.7262357414448669,0.462915949512335,0.7033977051110502,0.7030297082107607,0.7262357414448669,9.420506715774536
Burst_2,rotbasal,Behaviour,42,CategoryEmbeddingModel,0.8805592134792487,0.6685288640595903,0.5084783080462805,0.6448412798724992,0.6591028285097201,0.6685288640595903,3.115807294845581
Burst_2,rotbasal,Behaviour,42,GANDALF,0.8813107733887492,0.6703910614525139,0.5665086034037647,0.6481519856435877,0.6584134435491542,0.6703910614525139,12.90322995185852
Burst_2,rotbasal,Behaviour,100,CategoryEmbeddingModel,0.8992551511065482,0.6741154562383612,0.5154908231809153,0.6541157947206754,0.672085628340043,0.6741154562383612,4.627239227294922
Burst_2,rotbasal,Behaviour,100,GANDALF,0.8966303204628209,0.6685288640595903,0.47754309502581394,0.6440905611675182,0.6537658955737113,0.6685288640595903,14.645960807800293
Burst_2,rotbasal,Behaviour,123,CategoryEmbeddingModel,0.8873359695540921,0.6852886405959032,0.4709006399386584,0.6698409910889842,0.6755814540806393,0.6852886405959032,3.9941327571868896
Burst_2,rotbasal,Behaviour,123,GANDALF,0.881119807530273,0.6722532588454376,0.43564543815119855,0.6432692997207712,0.6702700966727578,0.6722532588454376,12.53257155418396
Burst_2,rotbasal,Behaviour,1234,CategoryEmbeddingModel,0.8946325595714102,0.6759776536312849,0.5531889289665788,0.6521162327464524,0.6521009947375217,0.6759776536312849,4.059412717819214
Burst_2,rotbasal,Behaviour,1234,GANDALF,0.8835567553342656,0.6499068901303539,0.5487945905860653,0.6348509556752068,0.6379196258831039,0.6499068901303539,13.721539497375488
Burst_2,rotbasal,Behaviour,123456,CategoryEmbeddingModel,0.8771926047036528,0.6610800744878957,0.49224825034156827,0.6361192099055699,0.6508129939362737,0.6610800744878957,3.0756916999816895
Burst_2,rotbasal,Behaviour,123456,GANDALF,0.8623227412941427,0.6350093109869647,0.4050738655865384,0.6160451522564869,0.6268510972473448,0.6350093109869647,14.422268629074097
Burst_2,rotdaily,Behaviour,42,CategoryEmbeddingModel,0.8814493732159496,0.6741154562383612,0.44082734981352495,0.6348404839883304,0.6377106780264709,0.6741154562383612,5.398390769958496
Burst_2,rotdaily,Behaviour,42,GANDALF,0.8103372864193156,0.5623836126629422,0.4091873660134029,0.544325324018516,0.5376410786363905,0.5623836126629422,11.71455192565918
Burst_2,rotdaily,Behaviour,100,CategoryEmbeddingModel,0.892103608404194,0.6890130353817505,0.4440979783145682,0.6588637438598204,0.6885929731644773,0.6890130353817505,4.696868896484375
Burst_2,rotdaily,Behaviour,100,GANDALF,0.8866276891281714,0.6703910614525139,0.4923869717072482,0.6557876682774164,0.6475469728888745,0.6703910614525139,15.636298418045044
