burst,correction_type,target,random_seed,model,actual_label,predicted_label,count
Burst_1,rotbasal,Behaviour,1234,TabPFN,Grooming actor,Walking,1
Burst_1,rotbasal,Behaviour,1234,TabPFN,Grooming receiver,Eating,0
Burst_1,rotbasal,Behaviour,1234,TabPFN,Grooming receiver,Grooming actor,0
Burst_1,rotbasal,Behaviour,1234,TabPFN,Grooming receiver,Grooming receiver,12
Burst_1,rotbasal,Behaviour,1234,TabPFN,Grooming receiver,Resting,5
Burst_1,rotbasal,Behaviour,1234,TabPFN,Grooming receiver,Running,0
Burst_1,rotbasal,Behaviour,1234,TabPFN,Grooming receiver,Self-scratching,0
Burst_1,rotbasal,Behaviour,1234,TabPFN,Grooming receiver,Sleeping,1
Burst_1,rotbasal,Behaviour,1234,TabPFN,Grooming receiver,Walking,0
Burst_1,rotbasal,Behaviour,1234,TabPFN,Resting,Eating,11
Burst_1,rotbasal,Behaviour,1234,TabPFN,Resting,Grooming actor,2
Burst_1,rotbasal,Behaviour,1234,TabPFN,Resting,Grooming receiver,3
Burst_1,rotbasal,Behaviour,1234,TabPFN,Resting,Resting,81
Burst_1,rotbasal,Behaviour,1234,TabPFN,Resting,Running,0
Burst_1,rotbasal,Behaviour,1234,TabPFN,Resting,Self-scratching,0
Burst_1,rotbasal,Behaviour,1234,TabPFN,Resting,Sleeping,1
Burst_1,rotbasal,Behaviour,1234,TabPFN,Resting,Walking,0
Burst_1,rotbasal,Behaviour,1234,TabPFN,Running,Eating,0
Burst_1,rotbasal,Behaviour,1234,TabPFN,Running,Grooming actor,0
Burst_1,rotbasal,Behaviour,1234,TabPFN,Running,Grooming receiver,0
Burst_1,rotbasal,Behaviour,1234,TabPFN,Running,Resting,0
Burst_1,rotbasal,Behaviour,1234,TabPFN,Running,Running,0
Burst_1,rotbasal,Behaviour,1234,TabPFN,Running,Self-scratching,0
Burst_1,rotbasal,Behaviour,1234,TabPFN,Running,Sleeping,0
Burst_1,rotbasal,Behaviour,1234,TabPFN,Running,Walking,1
Burst_1,rotbasal,Behaviour,1234,TabPFN,Self-scratching,Eating,2
Burst_1,rotbasal,Behaviour,1234,TabPFN,Self-scratching,Grooming actor,0
Burst_1,rotbasal,Behaviour,1234,TabPFN,Self-scratching,Grooming receiver,0
Burst_1,rotbasal,Behaviour,1234,TabPFN,Self-scratching,Resting,0
