"burst","correction_type","target","random_seed","model","actual_label","data","model_type","actual_count","recall","precision","actual_prop","beh_rarity"
"Burst_1","rotdaily","Behaviour",1234,"SVC","Running","features","ml",1,0,0,0,"rare"
"Burst_1","rotdaily","Behaviour",1234,"SVC","Self-scratching","features","ml",2,0,0,0.01,"rare"
"Burst_1","rotdaily","Behaviour",1234,"SVC","Sleeping","features","ml",6,0,0,0.02,"rare"
"Burst_1","rotdaily","Behaviour",1234,"SVC","Walking","features","ml",31,0.03,0.33,0.12,"uncommon"
"Burst_1","rotdaily","Behaviour",123456,"RF","Eating","features","ml",83,0.86,0.72,0.32,"common"
"Burst_1","rotdaily","Behaviour",123456,"RF","Grooming actor","features","ml",24,0.17,0.4,0.09,"uncommon"
"Burst_1","rotdaily","Behaviour",123456,"RF","Grooming receiver","features","ml",18,0.33,1,0.07,"uncommon"
"Burst_1","rotdaily","Behaviour",123456,"RF","Resting","features","ml",98,0.81,0.74,0.37,"common"
"Burst_1","rotdaily","Behaviour",123456,"RF","Running","features","ml",1,0,0,0,"rare"
"Burst_1","rotdaily","Behaviour",123456,"RF","Self-scratching","features","ml",2,0,0,0.01,"rare"
"Burst_1","rotdaily","Behaviour",123456,"RF","Sleeping","features","ml",7,0.71,0.5,0.03,"rare"
"Burst_1","rotdaily","Behaviour",123456,"RF","Walking","features","ml",30,0.83,0.83,0.11,"uncommon"
"Burst_1","rotdaily","Behaviour",123456,"XGB","Eating","features","ml",83,0.8,0.73,0.32,"common"
"Burst_1","rotdaily","Behaviour",123456,"XGB","Grooming actor","features","ml",24,0.38,0.38,0.09,"uncommon"
"Burst_1","rotdaily","Behaviour",123456,"XGB","Grooming receiver","features","ml",18,0.39,0.7,0.07,"uncommon"
"Burst_1","rotdaily","Behaviour",123456,"XGB","Resting","features","ml",98,0.7,0.73,0.37,"common"
"Burst_1","rotdaily","Behaviour",123456,"XGB","Running","features","ml",1,0,0,0,"rare"
"Burst_1","rotdaily","Behaviour",123456,"XGB","Self-scratching","features","ml",2,0,0,0.01,"rare"
"Burst_1","rotdaily","Behaviour",123456,"XGB","Sleeping","features","ml",7,0.71,0.45,0.03,"rare"
"Burst_1","rotdaily","Behaviour",123456,"XGB","Walking","features","ml",30,0.9,0.84,0.11,"uncommon"
"Burst_1","rotdaily","Behaviour",123456,"SVC","Eating","features","ml",83,0.02,0.5,0.32,"common"
"Burst_1","rotdaily","Behaviour",123456,"SVC","Grooming actor","features","ml",24,0,0,0.09,"uncommon"
"Burst_1","rotdaily","Behaviour",123456,"SVC","Grooming receiver","features","ml",18,0,0,0.07,"uncommon"
"Burst_1","rotdaily","Behaviour",123456,"SVC","Resting","features","ml",98,0.99,0.38,0.37,"common"
"Burst_1","rotdaily","Behaviour",123456,"SVC","Running","features","ml",1,0,0,0,"rare"
"Burst_1","rotdaily","Behaviour",123456,"SVC","Self-scratching","features","ml",2,0,0,0.01,"rare"
"Burst_1","rotdaily","Behaviour",123456,"SVC","Sleeping","features","ml",7,0,0,0.03,"rare"
"Burst_1","rotdaily","Behaviour",123456,"SVC","Walking","features","ml",30,0.03,0.5,0.11,"uncommon"
"Burst_1","uncorrected","Behaviour",42,"RF","Eating","features","ml",83,0.77,0.73,0.32,"common"
"Burst_1","uncorrected","Behaviour",42,"RF","Grooming actor","features","ml",24,0.17,0.57,0.09,"uncommon"
